V (mL),E (V)
0.01,-0.6162192479614153
0.02,-0.6162061111043317
0.03,-0.6161929593437335
0.04,-0.6161797926387678
0.05,-0.6161666109484186
0.06,-0.6161534142315058
0.07,-0.6161402024466849
0.08,-0.6161269755524448
0.09,-0.6161137335071082
0.10,-0.6161004762688306
0.11,-0.6160872037955983
0.12,-0.616073916045229
0.13,-0.6160606129753693
0.14,-0.6160472945434952
0.15,-0.6160339607069106
0.16,-0.616020611422746
0.17,-0.616007246647958
0.18,-0.6159938663393284
0.19,-0.615980470453463
0.20,-0.6159670589467908
0.21,-0.6159536317755627
0.22,-0.6159401888958513
0.23,-0.6159267302635489
0.24,-0.6159132558343674
0.25,-0.6158997655638371
0.26,-0.6158862594073049
0.27,-0.6158727373199344
0.28,-0.6158591992567046
0.29,-0.6158456451724084
0.30,-0.6158320750216515
0.31,-0.6158184887588528
0.32,-0.6158048863382413
0.33,-0.6157912677138566
0.34,-0.6157776328395475
0.35,-0.6157639816689696
0.36,-0.6157503141555868
0.37,-0.615736630252668
0.38,-0.6157229299132869
0.39,-0.6157092130903211
0.40,-0.6156954797364502
0.41,-0.6156817298041555
0.42,-0.6156679632457188
0.43,-0.6156541800132205
0.44,-0.6156403800585395
0.45,-0.6156265633333518
0.46,-0.6156127297891282
0.47,-0.615598879377135
0.48,-0.6155850120484316
0.49,-0.6155711277538696
0.50,-0.6155572264440919
0.51,-0.6155433080695307
0.52,-0.6155293725804076
0.53,-0.6155154199267312
0.54,-0.6155014500582968
0.55,-0.6154874629246839
0.56,-0.6154734584752568
0.57,-0.6154594366591619
0.58,-0.6154453974253266
0.59,-0.615431340722459
0.60,-0.6154172664990455
0.61,-0.6154031747033502
0.62,-0.6153890652834134
0.63,-0.6153749381870504
0.64,-0.6153607933618499
0.65,-0.6153466307551732
0.66,-0.6153324503141522
0.67,-0.615318251985689
0.68,-0.6153040357164533
0.69,-0.6152898014528825
0.70,-0.6152755491411791
0.71,-0.61526127872731
0.72,-0.6152469901570043
0.73,-0.6152326833757541
0.74,-0.6152183583288098
0.75,-0.6152040149611814
0.76,-0.6151896532176356
0.77,-0.6151752730426956
0.78,-0.615160874380638
0.79,-0.615146457175493
0.80,-0.6151320213710418
0.81,-0.6151175669108153
0.82,-0.6151030937380937
0.83,-0.6150886017959032
0.84,-0.6150740910270156
0.85,-0.6150595613739469
0.86,-0.6150450127789557
0.87,-0.6150304451840406
0.88,-0.6150158585309398
0.89,-0.6150012527611297
0.90,-0.6149866278158223
0.91,-0.6149719836359638
0.92,-0.614957320162234
0.93,-0.614942637335044
0.94,-0.6149279350945336
0.95,-0.6149132133805719
0.96,-0.6148984721327535
0.97,-0.6148837112903981
0.98,-0.614868930792548
0.99,-0.6148541305779677
1.00,-0.6148393105851401
1.01,-0.6148244707522672
1.02,-0.6148096110172664
1.03,-0.61479473131777
1.04,-0.6147798315911227
1.05,-0.6147649117743802
1.06,-0.6147499718043072
1.07,-0.6147350116173762
1.08,-0.6147200311497645
1.09,-0.6147050303373537
1.10,-0.6146900091157269
1.11,-0.6146749674201674
1.12,-0.6146599051856565
1.13,-0.6146448223468717
1.14,-0.6146297188381852
1.15,-0.6146145945936611
1.16,-0.6145994495470543
1.17,-0.6145842836318082
1.18,-0.6145690967810529
1.19,-0.6145538889276031
1.20,-0.6145386600039561
1.21,-0.6145234099422895
1.22,-0.6145081386744602
1.23,-0.6144928461320012
1.24,-0.6144775322461202
1.25,-0.6144621969476972
1.26,-0.6144468401672827
1.27,-0.6144314618350953
1.28,-0.61441606188102
1.29,-0.6144006402346057
1.30,-0.6143851968250631
1.31,-0.6143697315812625
1.32,-0.614354244431732
1.33,-0.6143387353046548
1.34,-0.6143232041278669
1.35,-0.6143076508288557
1.36,-0.6142920753347568
1.37,-0.6142764775723522
1.38,-0.6142608574680677
1.39,-0.6142452149479711
1.40,-0.6142295499377692
1.41,-0.6142138623628063
1.42,-0.6141981521480606
1.43,-0.6141824192181432
1.44,-0.6141666634972949
1.45,-0.6141508849093833
1.46,-0.6141350833779016
1.47,-0.6141192588259654
1.48,-0.6141034111763098
1.49,-0.6140875403512881
1.50,-0.6140716462728677
1.51,-0.6140557288626294
1.52,-0.6140397880417624
1.53,-0.6140238237310645
1.54,-0.6140078358509375
1.55,-0.6139918243213851
1.56,-0.6139757890620101
1.57,-0.6139597299920126
1.58,-0.613943647030186
1.59,-0.6139275400949148
1.60,-0.6139114091041727
1.61,-0.6138952539755181
1.62,-0.6138790746260929
1.63,-0.6138628709726188
1.64,-0.6138466429313947
1.65,-0.6138303904182936
1.66,-0.6138141133487602
1.67,-0.6137978116378078
1.68,-0.6137814852000151
1.69,-0.613765133949523
1.70,-0.6137487578000328
1.71,-0.6137323566648017
1.72,-0.6137159304566407
1.73,-0.6136994790879113
1.74,-0.6136830024705222
1.75,-0.6136665005159265
1.76,-0.6136499731351182
1.77,-0.6136334202386295
1.78,-0.613616841736527
1.79,-0.6136002375384086
1.80,-0.613583607553401
1.81,-0.6135669516901554
1.82,-0.6135502698568448
1.83,-0.6135335619611599
1.84,-0.613516827910307
1.85,-0.6135000676110034
1.86,-0.6134832809694746
1.87,-0.6134664678914505
1.88,-0.6134496282821622
1.89,-0.6134327620463381
1.90,-0.6134158690882009
1.91,-0.6133989493114634
1.92,-0.6133820026193253
1.93,-0.6133650289144691
1.94,-0.613348028099057
1.95,-0.613331000074727
1.96,-0.6133139447425885
1.97,-0.6132968620032193
1.98,-0.6132797517566619
1.99,-0.6132626139024189
2.00,-0.6132454483394492
2.01,-0.6132282549661644
2.02,-0.6132110336804254
2.03,-0.6131937843795372
2.04,-0.6131765069602455
2.05,-0.6131592013187326
2.06,-0.6131418673506135
2.07,-0.6131245049509312
2.08,-0.613107114014153
2.09,-0.6130896944341659
2.10,-0.6130722461042728
2.11,-0.6130547689171879
2.12,-0.6130372627650325
2.13,-0.6130197275393299
2.14,-0.6130021631310024
2.15,-0.6129845694303657
2.16,-0.6129669463271249
2.17,-0.6129492937103695
2.18,-0.6129316114685694
2.19,-0.6129138994895699
2.20,-0.6128961576605869
2.21,-0.6128783858682028
2.22,-0.6128605839983611
2.23,-0.6128427519363618
2.24,-0.6128248895668567
2.25,-0.6128069967738443
2.26,-0.6127890734406649
2.27,-0.6127711194499958
2.28,-0.6127531346838462
2.29,-0.6127351190235515
2.30,-0.6127170723497695
2.31,-0.6126989945424738
2.32,-0.6126808854809495
2.33,-0.6126627450437873
2.34,-0.6126445731088789
2.35,-0.6126263695534109
2.36,-0.6126081342538596
2.37,-0.612589867085986
2.38,-0.6125715679248294
2.39,-0.6125532366447024
2.40,-0.612534873119185
2.41,-0.6125164772211191
2.42,-0.6124980488226028
2.43,-0.6124795877949839
2.44,-0.6124610940088552
2.45,-0.6124425673340472
2.46,-0.6124240076396233
2.47,-0.6124054147938736
2.48,-0.6123867886643075
2.49,-0.6123681291176494
2.50,-0.612349436019831
2.51,-0.6123307092359862
2.52,-0.6123119486304435
2.53,-0.6122931540667207
2.54,-0.6122743254075176
2.55,-0.6122554625147102
2.56,-0.6122365652493433
2.57,-0.6122176334716246
2.58,-0.6121986670409173
2.59,-0.6121796658157337
2.60,-0.6121606296537281
2.61,-0.61214155841169
2.62,-0.6121224519455372
2.63,-0.6121033101103082
2.64,-0.6120841327601558
2.65,-0.612064919748339
2.66,-0.6120456709272164
2.67,-0.6120263861482386
2.68,-0.6120070652619405
2.69,-0.6119877081179341
2.70,-0.6119683145649008
2.71,-0.6119488844505833
2.72,-0.6119294176217787
2.73,-0.6119099139243296
2.74,-0.6118903732031171
2.75,-0.6118707953020524
2.76,-0.6118511800640682
2.77,-0.6118315273311116
2.78,-0.6118118369441348
2.79,-0.6117921087430873
2.80,-0.6117723425669076
2.81,-0.6117525382535138
2.82,-0.6117326956397962
2.83,-0.6117128145616075
2.84,-0.6116928948537546
2.85,-0.6116729363499896
2.86,-0.611652938883001
2.87,-0.6116329022844036
2.88,-0.6116128263847309
2.89,-0.6115927110134246
2.90,-0.6115725559988255
2.91,-0.6115523611681645
2.92,-0.6115321263475522
2.93,-0.6115118513619698
2.94,-0.6114915360352593
2.95,-0.6114711801901134
2.96,-0.6114507836480649
2.97,-0.6114303462294782
2.98,-0.6114098677535373
2.99,-0.6113893480382365
3.00,-0.6113687869003699
3.01,-0.61134818415552
3.02,-0.611327539618048
3.03,-0.6113068531010825
3.04,-0.6112861244165088
3.05,-0.6112653533749575
3.06,-0.6112445397857939
3.07,-0.6112236834571058
3.08,-0.6112027841956931
3.09,-0.6111818418070556
3.10,-0.6111608560953816
3.11,-0.611139826863536
3.12,-0.611118753913048
3.13,-0.6110976370440999
3.14,-0.6110764760555143
3.15,-0.6110552707447413
3.16,-0.6110340209078471
3.17,-0.6110127263395007
3.18,-0.6109913868329606
3.19,-0.6109700021800633
3.20,-0.6109485721712089
3.21,-0.6109270965953487
3.22,-0.6109055752399711
3.23,-0.610884007891089
3.24,-0.6108623943332251
3.25,-0.6108407343493988
3.26,-0.610819027721112
3.27,-0.6107972742283345
3.28,-0.6107754736494906
3.29,-0.6107536257614434
3.30,-0.6107317303394811
3.31,-0.6107097871573021
3.32,-0.610687795986999
3.33,-0.6106657565990445
3.34,-0.6106436687622756
3.35,-0.6106215322438779
3.36,-0.6105993468093702
3.37,-0.6105771122225883
3.38,-0.6105548282456685
3.39,-0.6105324946390326
3.40,-0.6105101111613697
3.41,-0.6104876775696206
3.42,-0.6104651936189609
3.43,-0.6104426590627829
3.44,-0.6104200736526793
3.45,-0.6103974371384253
3.46,-0.6103747492679608
3.47,-0.6103520097873725
3.48,-0.6103292184408755
3.49,-0.6103063749707955
3.50,-0.6102834791175493
3.51,-0.6102605306196265
3.52,-0.6102375292135701
3.53,-0.6102144746339577
3.54,-0.6101913666133814
3.55,-0.6101682048824278
3.56,-0.6101449891696588
3.57,-0.6101217192015901
3.58,-0.6100983947026718
3.59,-0.6100750153952668
3.60,-0.6100515809996296
3.61,-0.610028091233886
3.62,-0.61000454581401
3.63,-0.6099809444538028
3.64,-0.6099572868648706
3.65,-0.6099335727566018
3.66,-0.6099098018361443
3.67,-0.6098859738083826
3.68,-0.6098620883759145
3.69,-0.6098381452390269
3.70,-0.6098141440956728
3.71,-0.6097900846414462
3.72,-0.6097659665695576
3.73,-0.6097417895708099
3.74,-0.6097175533335717
3.75,-0.6096932575437535
3.76,-0.6096689018847803
3.77,-0.6096444860375663
3.78,-0.6096200096804876
3.79,-0.6095954724893562
3.80,-0.6095708741373917
3.81,-0.6095462142951942
3.82,-0.6095214926307163
3.83,-0.6094967088092345
3.84,-0.6094718624933204
3.85,-0.6094469533428116
3.86,-0.6094219810147824
3.87,-0.6093969451635133
3.88,-0.609371845440461
3.89,-0.6093466814942274
3.90,-0.6093214529705289
3.91,-0.609296159512164
3.92,-0.6092708007589819
3.93,-0.6092453763478495
3.94,-0.6092198859126188
3.95,-0.6091943290840933
3.96,-0.6091687054899944
3.97,-0.6091430147549266
3.98,-0.6091172565003431
3.99,-0.6090914303445101
4.00,-0.6090655359024716
4.01,-0.6090395727860123
4.02,-0.6090135406036216
4.03,-0.6089874389604555
4.04,-0.6089612674582995
4.05,-0.6089350256955294
4.06,-0.6089087132670732
4.07,-0.6088823297643704
4.08,-0.6088558747753336
4.09,-0.6088293478843062
4.10,-0.6088027486720224
4.11,-0.6087760767155643
4.12,-0.6087493315883207
4.13,-0.6087225128599425
4.14,-0.6086956200963007
4.15,-0.6086686528594409
4.16,-0.6086416107075387
4.17,-0.6086144931948541
4.18,-0.6085872998716848
4.19,-0.6085600302843202
4.20,-0.6085326839749927
4.21,-0.6085052604818297
4.22,-0.6084777593388047
4.23,-0.6084501800756865
4.24,-0.6084225222179904
4.25,-0.6083947852869249
4.26,-0.6083669687993407
4.27,-0.6083390722676775
4.28,-0.60831109519991
4.29,-0.608283037099494
4.30,-0.6082548974653104
4.31,-0.608226675791609
4.32,-0.608198371567952
4.33,-0.6081699842791551
4.34,-0.6081415134052297
4.35,-0.608112958421322
4.36,-0.608084318797653
4.37,-0.6080555939994567
4.38,-0.6080267834869177
4.39,-0.6079978867151067
4.40,-0.607968903133917
4.41,-0.6079398321879981
4.42,-0.6079106733166891
4.43,-0.6078814259539517
4.44,-0.6078520895283002
4.45,-0.6078226634627326
4.46,-0.6077931471746588
4.47,-0.607763540075829
4.48,-0.6077338415722601
4.49,-0.6077040510641608
4.50,-0.6076741679458566
4.51,-0.6076441916057123
4.52,-0.6076141214260535
4.53,-0.607583956783088
4.54,-0.6075536970468239
4.55,-0.6075233415809881
4.56,-0.6074928897429421
4.57,-0.6074623408835986
4.58,-0.6074316943473326
4.59,-0.6074009494718959
4.60,-0.607370105588327
4.61,-0.60733916202086
4.62,-0.6073081180868326
4.63,-0.6072769730965926
4.64,-0.6072457263534013
4.65,-0.6072143771533378
4.66,-0.6071829247851992
4.67,-0.6071513685304007
4.68,-0.607119707662873
4.69,-0.6070879414489585
4.70,-0.6070560691473058
4.71,-0.6070240900087613
4.72,-0.6069920032762607
4.73,-0.6069598081847167
4.74,-0.6069275039609064
4.75,-0.6068950898233552
4.76,-0.6068625649822196
4.77,-0.6068299286391678
4.78,-0.6067971799872585
4.79,-0.6067643182108156
4.80,-0.6067313424853035
4.81,-0.6066982519771984
4.82,-0.6066650458438577
4.83,-0.6066317232333862
4.84,-0.6065982832845018
4.85,-0.6065647251263968
4.86,-0.6065310478785974
4.87,-0.6064972506508209
4.88,-0.6064633325428302
4.89,-0.6064292926442847
4.90,-0.6063951300345894
4.91,-0.6063608437827415
4.92,-0.6063264329471721
4.93,-0.6062918965755879
4.94,-0.606257233704807
4.95,-0.6062224433605937
4.96,-0.606187524557489
4.97,-0.6061524762986386
4.98,-0.6061172975756163
4.99,-0.6060819873682461
5.00,-0.6060465446444185
5.01,-0.6060109683599058
5.02,-0.6059752574581703
5.03,-0.6059394108701734
5.04,-0.6059034275141759
5.05,-0.6058673062955391
5.06,-0.6058310461065175
5.07,-0.6057946458260517
5.08,-0.6057581043195532
5.09,-0.6057214204386884
5.10,-0.6056845930211553
5.11,-0.6056476208904579
5.12,-0.6056105028556744
5.13,-0.605573237711222
5.14,-0.6055358242366158
5.15,-0.6054982611962239
5.16,-0.6054605473390161
5.17,-0.605422681398309
5.18,-0.6053846620915035
5.19,-0.6053464881198202
5.20,-0.6053081581680253
